# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 11:56:26 2025
#
# User preference: *
#
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
loc_rowid,koi_period,koi_duration,koi_prad,koi_insol,koi_teq,koi_steff,koi_srad
155,6.546261490,2.75000,2.19,101.78,810.0,5251.00,0.8170
156,12.718098660,3.09570,2.31,23.60,562.0,4702.00,0.6860
157,36.065881630,4.32460,2.64,5.88,397.0,4702.00,0.6860
158,4.190425659,2.85890,6.21,547.90,1234.0,6073.00,1.1350
159,3.709870784,3.06940,4.35,415.10,1151.0,5727.00,0.9780
160,16.329752700,6.27100,3.75,66.08,727.0,5878.00,0.9870
161,27.807566216,4.21587,13.84,22.24,554.0,5862.00,0.7850
162,80.872346900,11.19500,7.59,9.88,452.0,5510.00,1.2380
163,3.166465862,2.93810,26.82,196.31,954.0,4968.00,0.7040
164,24.993243190,5.94090,2.29,60.88,712.0,5718.00,1.3170
165,10.355331160,3.17750,2.47,86.22,777.0,5501.00,0.9180
166,16.085189370,3.98400,3.68,33.43,613.0,5239.00,0.8260
167,235.998639900,8.22840,10.59,0.29,188.0,4245.00,0.6570
168,7.490183050,2.72970,2.56,76.06,753.0,5103.00,0.7870
169,36.276123800,4.78650,3.03,9.29,445.0,5103.00,0.7870
170,17.460879310,2.26410,2.32,24.60,568.0,5103.00,0.7870
171,56.056075400,4.68500,1.94,0.69,233.0,3593.00,0.4910
172,41.408316686,5.02640,11.38,9.93,453.0,5522.00,0.7470
173,39.748930770,7.30510,14.21,21.87,552.0,6122.00,0.9640
174,5.715425977,2.52420,2.47,123.03,850.0,5237.00,0.8260
175,49.183941850,11.33640,8.20,47.40,669.0,5626.00,2.0570
176,20.026141200,1.61100,2.28,23.14,559.0,5237.00,0.8260
177,13.610148190,2.59400,19.02,68.29,733.0,5697.00,0.9030
178,10.443319910,2.74300,2.66,46.94,667.0,4947.00,0.8020
179,2.237489571,1.81190,1.41,427.17,1160.0,5265.00,0.8100
180,5.851520671,3.11058,14.62,155.89,901.0,5532.00,0.8060
181,3.167893418,2.18140,2.62,526.23,1221.0,5895.00,0.9400
182,4.311780262,2.72510,3.11,274.84,1038.0,5527.00,0.9270
183,20.050449400,4.55600,2.69,35.44,622.0,5527.00,0.9270
184,9.767345030,1.65850,2.67,92.46,791.0,5527.00,0.9270
185,119.020704400,8.14050,8.98,4.25,366.0,5453.00,1.0620
186,190.320046800,15.28400,7.78,7.80,426.0,5626.00,2.0570
187,2.861159894,1.88320,4.37,797.10,1355.0,6126.00,1.0210
188,26.444393370,3.97830,3.91,23.54,562.0,5427.00,0.9290
189,51.539979720,6.39940,5.51,9.67,450.0,5427.00,0.9290
190,5.902245782,2.90030,2.43,173.74,926.0,5427.00,0.9290
191,2.382951591,1.88760,1.86,583.01,1253.0,5427.00,0.9290
192,21.022506080,4.10720,3.07,17.48,521.0,5067.00,0.7500
193,3.219814777,2.06420,1.69,234.93,998.0,5103.00,0.7870
194,5.912273234,2.32540,1.73,27.72,585.0,4072.00,0.5700
195,8.985819010,2.86060,1.65,15.90,509.0,4072.00,0.5700
196,12.940668656,2.48450,22.94,64.64,723.0,5875.00,0.8090
197,20.545237500,2.51700,2.41,71.57,742.0,5670.00,1.2640
198,33.601233710,4.40560,8.46,14.22,495.0,5149.00,0.9300
199,6.766529280,2.90040,1.97,120.48,845.0,5149.00,0.9300
200,4.347288783,2.10240,2.36,449.79,1174.0,5754.00,1.1220
201,4.601811819,2.26070,2.35,152.91,896.0,4986.00,0.8330
202,11.187199050,3.25200,1.55,46.65,667.0,4986.00,0.8330
203,4.220965778,3.08540,2.62,29.68,595.0,3837.00,0.5170
204,6.998099523,2.04880,588.66,125.22,853.0,5612.00,0.8290
205,5.954899930,2.38920,2.33,38.52,635.0,4261.00,0.6330
206,12.039874880,2.73630,2.18,15.06,502.0,4261.00,0.6330
207,20.837628950,2.37340,1.42,7.24,418.0,4261.00,0.6330
208,8.811102200,5.06830,63.66,904.92,1399.0,6200.00,2.4040
209,23.589171430,5.07300,3.16,13.34,487.0,4919.00,0.7210
210,6.481633073,3.78400,2.54,406.25,1145.0,5945.00,1.3020
211,10.371689280,3.03500,3.20,63.68,720.0,5121.00,0.8880
212,3.969962980,1.17570,1.78,229.37,992.0,5121.00,0.8880
213,4.408413310,5.01200,2.66,398.00,1139.0,6007.00,0.9610
214,7.942617600,6.70300,4.68,140.57,878.0,5811.00,0.9260
215,226.890477500,7.55800,4.53,0.73,236.0,5067.00,0.7500
216,1.956811408,2.19580,21.58,357.16,1109.0,5209.00,0.6030
217,2.688899233,2.11275,12.04,175.76,929.0,4820.00,0.6390
218,9.439459486,2.89790,4.16,52.32,686.0,5097.00,0.7790
219,11.523067458,3.87570,3.13,174.81,927.0,5644.00,1.4110
220,20.477488430,2.83640,2.92,18.65,530.0,5097.00,0.7790
221,3.336123113,1.96160,1.74,209.79,970.0,5097.00,0.7790
222,8.010784560,2.31200,1.72,9.90,453.0,3713.00,0.4700
223,12.071342050,4.32240,1.29,5.74,395.0,3713.00,0.4700
224,20.995878720,2.63330,1.30,2.74,328.0,3713.00,0.4700
225,7.411131770,2.52420,2.45,158.11,905.0,5849.00,0.9190
226,1.000747038,0.99670,4.14,1635.20,1620.0,5472.00,0.7900
227,8.884922995,2.07004,10.51,83.21,770.0,5332.00,0.8430
228,8.098889060,4.20241,8.95,223.19,986.0,6214.00,1.0760
229,10.006530120,5.34400,3.52,139.21,876.0,6063.00,1.0010
230,17.855221681,7.41287,13.16,163.04,911.0,6823.00,1.3670
231,12.732624065,2.20830,4.87,8.22,432.0,3950.00,0.5410
232,83.924940320,6.79040,4.78,0.62,226.0,3960.00,0.5090
233,5.007316661,4.23620,6.96,234.28,998.0,5865.00,0.8270
234,2.211116989,1.64850,1.85,177.19,931.0,4500.00,0.6460
235,27.954133700,3.95000,1.90,6.04,400.0,4500.00,0.6460
236,12.691043870,3.77270,2.57,244.30,1008.0,5869.00,1.6260
237,4.409409243,3.86360,10.95,347.06,1101.0,5600.00,0.9750
238,16.239470960,4.03740,4.14,30.14,598.0,5191.00,0.8370
239,6.308201629,2.97850,2.96,106.44,819.0,5191.00,0.8370
240,2.052349884,2.07780,13.12,1183.18,1497.0,5855.00,1.0800
241,9.770448600,2.45170,2.23,10.59,460.0,3906.00,0.5090
242,5.169804269,2.15300,1.66,24.75,569.0,3906.00,0.5090
243,21.222611950,6.50930,2.48,83.56,771.0,5945.00,1.3020
244,20.090170370,4.15400,2.25,4.05,362.0,3906.00,0.5090
245,7.113732570,2.17640,1.16,8.01,429.0,3561.00,0.4110
246,3.306551643,1.81770,0.91,22.19,554.0,3561.00,0.4110
247,15.368457370,2.47140,1.11,2.86,332.0,3561.00,0.4110
248,13.810203180,3.04800,4.56,113.75,833.0,5942.00,1.1420
249,4.093578461,2.58330,2.85,461.07,1182.0,6077.00,0.9990
250,105.145959000,8.59300,3.43,6.09,401.0,6077.00,0.9990
251,10.848451800,2.99930,2.34,14.66,499.0,4201.00,0.5910
252,6.668332410,1.91500,1.18,28.06,587.0,4201.00,0.5910
253,4.082274889,3.23015,10.55,251.48,1016.0,5655.00,0.7940
254,3.886655224,3.16460,1.87,246.29,1010.0,5662.00,0.7380
255,42.140608900,5.08300,1.85,3.49,349.0,4500.00,0.6460
256,4.617490562,2.26180,1.62,66.47,728.0,4500.00,0.6460
257,10.198492550,2.42830,1.75,23.11,559.0,4500.00,0.6460
258,5.795063956,3.24960,4.33,192.74,950.0,5865.00,0.8270
259,7.156815520,2.58820,2.47,88.23,782.0,5029.00,0.8380
260,17.648308510,2.08730,2.43,26.49,579.0,5029.00,0.8380
261,4.148107190,2.53500,1.08,182.76,938.0,5029.00,0.8380
262,16.514109890,4.15750,2.72,43.57,655.0,5527.00,0.8660
263,30.132929800,5.17200,3.14,19.55,536.0,5527.00,0.8660
264,4.790908090,2.60300,1.36,227.24,990.0,5527.00,0.8660
265,31.719810130,4.81900,3.09,71.97,743.0,5869.00,1.6260
266,99.641596200,4.44800,2.64,3.97,360.0,5527.00,0.8660
267,4.708326451,3.16114,10.60,431.02,1162.0,5560.00,1.2100
268,16.371986610,3.84490,540.37,8.71,438.0,4187.00,0.5920
269,5.392026903,2.98040,2.68,123.33,850.0,5198.00,0.8010
270,2.494170338,1.12210,2.42,480.19,1194.0,5569.00,0.8290
271,6.491682808,4.30100,9.66,301.54,1062.0,6123.00,1.1070
272,3.044770796,10.01340,24.54,317.36,1076.0,5525.00,0.7530
273,3.855603916,3.21790,13.61,508.65,1212.0,6033.00,1.0460
274,3.855599139,3.18300,3.57,425.74,1158.0,5936.00,0.9650
275,38.478766290,5.04169,13.26,13.01,484.0,5510.00,0.8790
276,37.601661282,8.30604,27.22,31.86,606.0,6140.00,1.0960
277,3.314947362,1.80070,3.94,421.03,1155.0,5609.00,0.9440
278,6.719690890,3.02310,4.37,194.18,952.0,5931.00,0.8660
279,39.643155200,6.52920,10.98,11.74,472.0,5231.00,0.9000
280,51.425985780,16.94220,29.66,21.40,549.0,6257.00,1.1470
281,21.804516110,3.40970,2.60,20.48,543.0,5481.00,0.7080
282,10.281945930,3.43660,2.53,50.60,680.0,5196.00,0.7750
283,18.119930390,4.23090,2.95,23.77,563.0,5196.00,0.7750
284,3.784028670,1.90120,1.70,191.78,949.0,5196.00,0.7750
285,5.154481420,3.22800,2.94,204.10,964.0,5431.00,0.8840
286,33.803643660,11.48130,20.70,72.71,745.0,5855.00,1.7960
287,5.743469797,3.44120,3.13,219.95,982.0,5897.00,0.8910
288,39.475909300,2.96800,4.06,26.13,577.0,6225.00,1.0310
289,19.974485239,4.23479,26.56,56.84,700.0,6108.00,0.9970
290,3.166353562,3.31290,3.82,621.92,1273.0,6007.00,0.9980
291,23.899634407,3.81881,44.04,42.80,652.0,6192.00,0.9240
292,3.388012244,2.68490,2.11,705.93,1315.0,5553.00,1.2500
293,5.839097610,3.19150,2.06,341.48,1097.0,5553.00,1.2500
294,1.620467654,2.18880,1.57,1893.42,1681.0,5553.00,1.2500
295,10.681695100,3.60500,2.30,152.75,897.0,5553.00,1.2500
296,6.104849417,4.69120,3.18,89.25,784.0,5085.00,0.7120
297,3.578780566,2.91089,10.43,406.60,1145.0,5524.00,0.9940
298,3.187067566,3.11900,23.88,319.76,1079.0,5450.00,0.8110
299,5.826657508,2.91830,4.09,248.57,1013.0,5561.00,1.0600
300,12.412163470,3.73900,2.58,90.65,787.0,5561.00,1.0600
301,18.746490110,3.89500,3.05,52.38,686.0,5561.00,1.0600
302,20.860212290,5.19370,5.50,87.76,781.0,6035.00,1.2570
303,42.634278480,6.19980,5.22,33.82,615.0,6035.00,1.2570
304,87.647606800,8.87100,4.00,12.94,484.0,6035.00,1.2570
305,9.617314260,3.86920,1.94,246.13,1010.0,6035.00,1.2570
306,9.467821474,2.43270,2.13,6.47,407.0,3582.00,0.4580
307,0.893040969,1.09810,1.24,151.14,893.0,3582.00,0.4580
308,4.942783419,3.25346,10.62,244.42,1008.0,5514.00,0.9780
309,20.834267310,4.04540,2.74,29.62,595.0,5537.00,0.8800
310,9.946023570,3.38620,3.12,100.34,807.0,5344.00,1.0130
311,1.045621950,1.89550,1.45,2031.84,1710.0,5344.00,1.0130
312,5.714623960,2.33600,1.78,210.16,971.0,5344.00,1.0130
313,102.964195200,15.73500,39.00,95.40,797.0,5047.00,7.1190
314,8.145159810,5.07300,3.43,287.91,1050.0,5896.00,1.2400
315,18.998527900,4.52900,43.17,93.03,792.0,5896.00,1.2400
316,4.244390490,3.28200,2.07,686.99,1305.0,5896.00,1.2400
317,90.124050700,11.64900,7.12,13.09,485.0,6520.00,1.2150
318,28.574269200,4.94270,2.32,19.83,538.0,5551.00,0.8120
319,856.672115000,23.14400,3.87,0.81,242.0,6449.00,1.3090
320,0.689210173,1.61690,1.32,3362.71,1943.0,5630.00,0.9540
321,7.343739640,1.17840,1.84,117.50,839.0,5757.00,0.7620
322,0.445277068,3.53900,35.74,10177.11,2562.0,6167.00,1.0640
323,0.379463865,0.86896,59.56,19256.81,3000.0,5075.00,1.7830
324,9.880479780,2.78458,23.60,129.45,860.0,6113.00,0.9170
325,4.648415600,38.19390,5.06,6152.88,2259.0,6980.00,3.4820
326,17.512014768,1.82480,13.66,98.77,804.0,6224.00,1.1320
327,3.988602100,1.73760,34.39,23135.72,3145.0,4813.00,13.6520
328,0.533059312,1.86210,133.56,277887.70,5862.0,8523.00,4.0510
329,0.525154153,2.14410,23.61,4391.51,2073.0,5582.00,0.8460
330,1.303861044,4.05410,27.85,1595.19,1610.0,5758.00,0.9020
331,0.734524960,6.70000,,,,,
332,2.555491760,9.08300,23.35,701.68,1312.0,5948.00,0.9010
333,2.947376671,2.09110,403.59,7903.84,2404.0,8090.00,2.2340
334,224.778935500,11.18990,7.67,2.92,333.0,5873.00,1.2350
335,0.890110752,0.87740,1.25,838.42,1372.0,4768.00,0.7110
336,5.765733960,2.92400,7.47,3518.78,1964.0,5772.00,4.4340
337,7.426081230,3.63790,2.47,273.78,1037.0,6049.00,1.1760
338,15.986893200,4.15800,1.62,98.51,803.0,6049.00,1.1760
339,0.730945890,4.32000,17.12,3248.17,1922.0,5901.00,0.8480
340,18.925372460,3.98350,13.92,443.58,1171.0,4941.00,4.8850
341,0.933749106,4.25600,3.22,15822.49,2863.0,6215.00,2.1880
342,2.037440623,3.44200,1.19,1448.05,1572.0,6253.00,1.0150
343,129995.778400000,9.40800,2.99,0.00,25.0,4500.00,0.7260
344,31.592580900,13.56600,1.78,53.09,688.0,5676.00,1.4870
345,17.157236000,11.28400,1.55,119.87,844.0,5676.00,1.4870
346,1.973760850,1.82542,8.78,76.10,753.0,3807.00,0.5030
347,13.118962443,4.30450,8.25,2310.43,1768.0,7221.00,4.2400
348,4.618767792,5.99570,7.48,442.78,1170.0,6013.00,1.0330
349,7.821873280,3.84170,2.78,4601.71,2101.0,7221.00,4.2400
350,53.505761100,10.56160,2.52,49.16,675.0,6247.00,1.7620
351,2.785821236,3.55990,1.69,2388.98,1784.0,6202.00,1.7330
352,52.569018670,6.75070,78.54,69.62,737.0,7240.00,1.7170
353,3.411758679,3.15800,14.71,51.85,684.0,3995.00,0.5610
354,0.525426427,1.08010,1.45,4349.62,2069.0,5791.00,0.8020
355,1.269091415,1.46470,1.41,740.47,1331.0,5041.00,0.7660
356,2.853133997,1.46500,1.36,251.77,1016.0,5041.00,0.7660
357,6.796853530,3.17020,2.01,222.91,985.0,6061.00,0.9700
358,8.667822346,4.96580,67.37,681.39,1303.0,6266.00,1.8890
359,1.475323222,2.31550,5.88,13331.51,2740.0,4941.00,4.8850
360,4.152461180,2.57550,7.62,3354.56,1941.0,4941.00,4.8850
361,6.721078300,7.46000,,,,,
362,8.734885200,4.49000,1.59,148.62,890.0,5982.00,0.9600
363,10.265476880,3.73300,1.81,83.13,770.0,5699.00,0.8530
364,13.447179100,3.04540,5.24,122.34,848.0,6276.00,1.0410
365,3.305577989,2.59030,25.89,263.55,1027.0,5534.00,0.7070
366,4.800653901,9.04190,16.91,778.45,1347.0,6715.00,1.2410
367,15.066499010,5.98850,56.44,177.96,932.0,5751.00,1.6260
368,34.820081580,11.17110,11.36,10.49,459.0,5114.00,0.7840
369,0.651784374,2.01410,33.65,4500.59,2090.0,5555.00,1.0610
370,1.353771892,7.01200,430.99,136609.48,4903.0,4283.00,15.7600
371,18.954916330,24.24900,71.39,397.48,1139.0,6362.00,2.5340
372,4.348866254,3.27970,2436.69,401588.95,6421.0,3598.00,101.4510
373,47.930945460,2.68970,68.02,158.41,905.0,8214.00,1.9380
374,3.997514220,3.68600,2.98,5563.95,2203.0,5066.00,5.3240
375,1.592633181,5.56050,1.56,290.51,1053.0,4506.00,0.6510
376,67.592375400,12.24900,12.10,28.20,588.0,6038.00,1.7440
377,17.029027860,4.64500,2.54,76.66,755.0,5839.00,1.0670
378,6.846192360,3.52900,1.67,258.41,1022.0,5839.00,1.0670
