period,tranDur,radE,earthFlux,eqTemp,effTemp,radS,actual_label,predicted_label,confidence_positive,confidence_negative
0.017700,0.027600,0.001960,0.001773,0.052300,0.480700,0.074200,1.000000,1.000000,0.902739,0.097261
0.129623,0.356400,0.059456,0.000696,0.080400,0.059960,0.139000,1.000000,1.000000,0.882991,0.117009
0.002622,0.019410,0.034680,0.064875,0.128800,0.574900,0.088100,0.000000,0.000000,0.078841,0.921159
0.322484,0.229900,0.003500,0.000106,0.025900,0.596800,0.088100,0.000000,0.000000,0.220202,0.779798
0.044977,0.325734,0.130443,0.011112,0.147255,0.065440,0.153350,1.000000,1.000000,0.935796,0.064204
0.008464,0.014078,0.002510,0.009937,0.080500,0.542700,0.088700,1.000000,1.000000,0.925963,0.074037
0.165631,0.231700,0.300184,0.001849,0.102700,0.061770,0.135000,1.000000,0.000000,0.252867,0.747133
0.000717,0.006550,0.001110,0.406357,0.203400,0.555200,0.103000,1.000000,1.000000,0.591594,0.408406
0.044189,0.068151,0.014000,0.001973,0.053700,0.606100,0.096800,0.000000,1.000000,0.606329,0.393671
0.034544,0.034820,0.002670,0.003202,0.060700,0.593300,0.111500,1.000000,1.000000,0.940211,0.059789
0.057159,0.243700,0.123206,0.000765,0.082300,0.052240,0.082000,1.000000,1.000000,0.956585,0.043415
0.017667,0.141967,0.015575,0.000570,0.070085,0.034740,0.046126,1.000000,1.000000,0.944588,0.055412
0.494624,0.083600,0.001040,0.000011,0.014500,0.430200,0.060400,0.000000,0.000000,0.226285,0.773715
0.036306,0.230300,0.053284,0.020588,0.187600,0.051560,0.131000,1.000000,1.000000,0.559300,0.440700
0.037078,0.266200,0.115364,0.003175,0.117500,0.056202,0.104000,1.000000,1.000000,0.949023,0.050977
0.071315,0.280900,0.079849,0.000553,0.075900,0.047016,0.088000,1.000000,1.000000,0.952495,0.047505
0.000989,0.020230,0.003180,2.425804,0.318300,0.645600,0.277300,1.000000,0.000000,0.091028,0.908972
0.498688,0.178800,0.002440,0.000087,0.024600,0.618400,0.103800,0.000000,0.000000,0.262604,0.737396
0.001092,0.019719,0.001070,0.115310,0.148800,0.535400,0.078800,0.000000,0.000000,0.180470,0.819530
0.029721,0.441000,0.156498,0.019395,0.184800,0.061011,0.195000,1.000000,1.000000,0.927006,0.072994
0.370983,0.178400,0.119960,0.000307,0.033800,0.602800,0.163000,1.000000,0.000000,0.104300,0.895700
0.000641,0.010330,0.000860,0.551238,0.219600,0.607700,0.096100,0.000000,0.000000,0.106058,0.893942
0.000649,0.026140,0.002600,4.739305,0.375800,0.497300,0.470800,0.000000,0.000000,0.117003,0.882997
0.096995,1.579601,0.095296,0.001433,0.088237,0.046960,0.421059,1.000000,1.000000,0.882856,0.117144
0.016615,0.027060,0.001490,0.003148,0.060400,0.529500,0.080000,1.000000,1.000000,0.872273,0.127727
0.035663,0.419700,0.202251,0.019492,0.185100,0.068314,0.317000,0.000000,1.000000,0.825346,0.174654
0.008703,0.048070,0.000720,0.018870,0.094500,0.600600,0.108200,1.000000,1.000000,0.911884,0.088116
0.043592,0.355900,0.036158,0.006270,0.139400,0.058660,0.120000,1.000000,1.000000,0.863301,0.136699
0.006815,0.030541,0.014180,0.011558,0.083600,0.546500,0.081700,0.000000,0.000000,0.462425,0.537575
0.029907,0.048475,0.002160,0.002392,0.056400,0.573900,0.089600,1.000000,1.000000,0.884519,0.115481
0.023899,0.159550,0.003260,0.010830,0.082300,0.551100,0.193000,1.000000,1.000000,0.709601,0.290399
0.113649,0.402500,0.093085,0.001409,0.095900,0.061280,0.151000,1.000000,1.000000,0.920443,0.079557
2.601740,2.405271,0.113192,0.000040,0.036017,0.057390,0.162762,1.000000,1.000000,0.901194,0.098806
0.000563,0.015910,0.000690,1.120145,0.262600,0.657700,0.114500,0.000000,0.000000,0.054623,0.945377
0.280555,0.127570,0.002170,0.000213,0.030800,0.629200,0.107800,1.000000,0.000000,0.413687,0.586313
0.009292,0.098372,0.106080,0.001044,0.081528,0.032070,0.048593,1.000000,1.000000,0.841176,0.158824
0.060327,0.016864,0.004980,0.000079,0.024000,0.370500,0.052900,1.000000,1.000000,0.840936,0.159064
0.014509,0.112300,0.205418,0.023747,0.194400,0.064720,0.124000,1.000000,1.000000,0.641082,0.358918
0.011173,0.045450,0.001400,0.063206,0.127900,0.737200,0.175200,1.000000,1.000000,0.608108,0.391892
0.005777,0.067890,0.032770,0.019579,0.095400,0.554400,0.087500,0.000000,0.000000,0.035461,0.964539
0.004915,0.027757,0.001460,0.027943,0.104200,0.577200,0.095600,1.000000,1.000000,0.868265,0.131735
0.000504,0.016276,0.033960,0.707776,0.233900,0.604300,0.090100,0.000000,0.000000,0.020167,0.979833
0.052673,0.030390,0.001640,0.001745,0.052100,0.618400,0.103800,0.000000,1.000000,0.816083,0.183917
0.001007,0.013175,0.001030,0.255697,0.181500,0.608900,0.088900,0.000000,0.000000,0.162264,0.837736
0.000567,0.051480,0.001130,1.222782,0.268000,0.561600,0.154700,0.000000,0.000000,0.091617,0.908383
0.001508,0.030960,0.031770,0.067511,0.130100,0.506900,0.081800,0.000000,0.000000,0.013921,0.986079
0.001028,0.018606,0.072770,0.340048,0.194700,0.622800,0.099000,1.000000,0.000000,0.011351,0.988649
0.018007,0.054010,0.001050,0.009625,0.079900,0.617300,0.116700,1.000000,1.000000,0.858580,0.141420
0.019037,0.033882,0.005740,0.028804,0.105100,0.524800,0.289200,1.000000,1.000000,0.693473,0.306527
0.047842,0.294700,0.021440,0.004288,0.126700,0.062400,0.106000,1.000000,1.000000,0.911073,0.088927
0.003412,0.031580,0.014710,0.005185,0.068400,0.399500,0.056100,0.000000,0.000000,0.152982,0.847018
0.342826,0.698900,0.058459,0.000419,0.070800,0.061450,0.119000,1.000000,1.000000,0.872214,0.127786
0.007825,0.021860,0.001200,0.001405,0.049400,0.395000,0.049300,1.000000,1.000000,0.917845,0.082155
0.026828,0.098700,0.235198,0.008529,0.150500,0.085280,0.528000,1.000000,0.000000,0.451537,0.548463
0.025303,0.044903,0.003950,0.001939,0.053500,0.512100,0.088800,1.000000,1.000000,0.916463,0.083537
0.073724,0.782171,0.048406,0.013319,0.154078,0.060830,0.255241,1.000000,1.000000,0.811679,0.188321
0.282029,0.046860,0.002330,0.000412,0.036300,0.688600,0.128700,1.000000,0.000000,0.314329,0.685671
0.005169,0.045122,0.002060,0.069432,0.130900,0.601100,0.140900,1.000000,1.000000,0.911244,0.088756
0.000687,0.035252,0.035300,0.426713,0.206300,0.578000,0.100000,0.000000,0.000000,0.009341,0.990659
0.062949,0.187800,0.066795,0.000093,0.048700,0.035840,0.053000,1.000000,1.000000,0.941935,0.058065
0.040266,0.231200,0.019019,0.002137,0.106500,0.052765,0.078000,0.000000,1.000000,0.936896,0.063104
0.017319,0.169196,0.120299,0.000866,0.077812,0.033940,0.061522,1.000000,1.000000,0.958704,0.041296
0.058301,0.261800,0.027050,0.000597,0.077400,0.044510,0.072000,1.000000,1.000000,0.966794,0.033206
0.013485,0.240743,0.158825,0.027070,0.183967,0.063460,0.114759,1.000000,1.000000,0.836376,0.163624
0.004259,0.045130,0.000700,0.058312,0.125300,0.556000,0.131600,1.000000,1.000000,0.877053,0.122947
0.003756,0.022911,0.001580,0.021546,0.097700,0.531100,0.078800,1.000000,1.000000,0.850157,0.149843
0.018532,0.201900,0.135946,0.006729,0.141800,0.053550,0.068000,1.000000,1.000000,0.765297,0.234703
0.028867,0.037820,0.001510,0.001400,0.049300,0.519100,0.083700,1.000000,1.000000,0.890479,0.109521
0.031591,0.026431,0.072910,0.008884,0.078300,0.517800,0.229500,0.000000,0.000000,0.147690,0.852310
0.033601,0.141324,0.011844,0.000199,0.053886,0.035510,0.037436,1.000000,1.000000,0.973889,0.026111
0.156342,0.288800,0.112380,0.000233,0.061100,0.057250,0.096000,1.000000,1.000000,0.939432,0.060568
0.005508,0.029516,0.034030,0.008657,0.077800,0.518800,0.062400,0.000000,0.000000,0.038215,0.961785
0.025367,0.059556,0.056020,0.004609,0.066500,0.620800,0.102400,0.000000,0.000000,0.047178,0.952822
0.055765,0.231405,0.045613,0.006612,0.129331,0.060022,0.152031,1.000000,1.000000,0.766631,0.233369
0.001361,0.014886,0.007240,0.179247,0.166000,0.621500,0.087200,0.000000,0.000000,0.100768,0.899232
0.034291,0.179500,0.211656,0.001852,0.102700,0.056540,0.185000,1.000000,1.000000,0.911654,0.088346
0.005187,0.008023,0.002400,0.012937,0.086000,0.523000,0.077700,1.000000,1.000000,0.861220,0.138780
0.000934,0.042560,0.003220,1.582249,0.286300,0.621500,0.218800,0.000000,0.000000,0.085357,0.914643
0.316577,0.146400,0.001470,0.000101,0.025500,0.582200,0.089800,0.000000,0.000000,0.336401,0.663599
0.015057,0.024400,0.121483,0.000090,0.048200,0.043350,0.064000,1.000000,1.000000,0.898179,0.101821
0.037261,0.311924,0.135888,0.004286,0.116046,0.057360,0.099750,1.000000,1.000000,0.958667,0.041333
0.006306,0.026190,0.002520,0.037890,0.112500,0.493400,0.175600,1.000000,1.000000,0.856494,0.143506
0.004809,0.079331,0.044300,0.061574,0.127000,0.646200,0.116600,0.000000,0.000000,0.016117,0.983883
0.002352,0.017389,0.001290,0.025503,0.101900,0.481600,0.074800,1.000000,1.000000,0.874372,0.125628
0.000615,0.019305,0.044790,0.107484,0.146000,0.450900,0.066300,0.000000,0.000000,0.024829,0.975172
0.426942,0.039650,0.002320,0.000029,0.018700,0.512600,0.066900,1.000000,1.000000,0.516518,0.483482
0.023206,0.043243,0.005860,0.023821,0.100200,0.546000,0.323100,1.000000,1.000000,0.779017,0.220983
0.009086,0.020718,0.006280,0.013010,0.086100,0.593100,0.086600,0.000000,1.000000,0.630866,0.369134
0.011875,0.019797,0.001320,0.006633,0.072800,0.552300,0.088000,1.000000,1.000000,0.834570,0.165430
0.199677,0.628049,0.100136,0.000787,0.075962,0.058570,0.126949,1.000000,1.000000,0.934847,0.065153
0.035115,0.352700,0.128100,0.005695,0.136000,0.054908,0.135000,1.000000,1.000000,0.951009,0.048991
0.079040,0.399600,0.093990,0.002135,0.106400,0.057970,0.179000,1.000000,1.000000,0.912308,0.087692
0.029803,0.363500,0.154918,0.014163,0.170900,0.062838,0.157000,1.000000,1.000000,0.931722,0.068278
0.004884,0.020570,0.000840,0.002650,0.057900,0.388300,0.051700,1.000000,1.000000,0.890405,0.109595
0.234524,0.039000,0.002330,0.000062,0.022600,0.498700,0.072700,0.000000,1.000000,0.550094,0.449906
0.005802,0.039551,0.014000,0.022581,0.098900,0.568700,0.092100,0.000000,0.000000,0.449473,0.550527
0.167369,0.456100,0.028802,0.000804,0.083400,0.057590,0.100000,1.000000,1.000000,0.925353,0.074647
0.016295,0.036780,0.001150,0.002559,0.057400,0.491500,0.081200,1.000000,1.000000,0.866461,0.133539
0.015927,0.074289,0.057950,0.004768,0.067000,0.549600,0.091700,0.000000,0.000000,0.058421,0.941579
0.012001,0.032660,0.001470,0.003781,0.063200,0.519500,0.069000,1.000000,1.000000,0.779532,0.220468
0.000954,0.017616,0.047650,1.203860,0.267200,0.733200,0.146000,0.000000,0.000000,0.020729,0.979271
0.219322,0.124124,0.006110,0.000227,0.031300,0.606300,0.101200,1.000000,1.000000,0.630370,0.369630
0.057344,0.114600,0.210528,0.000199,0.058800,0.044050,0.086000,0.000000,1.000000,0.914931,0.085069
0.001124,0.030520,0.000610,0.205879,0.171900,0.594100,0.091100,0.000000,0.000000,0.041573,0.958427
0.000934,0.030270,0.000570,0.428678,0.206400,0.629200,0.107800,0.000000,0.000000,0.050442,0.949558
0.067845,0.117570,0.002650,0.002908,0.059200,0.587800,0.181200,1.000000,1.000000,0.842810,0.157190
0.009752,0.161937,0.182090,0.080041,0.135600,0.514700,0.314500,0.000000,0.000000,0.168647,0.831353
0.037811,0.306900,0.153456,0.007023,0.143400,0.063640,0.159000,1.000000,1.000000,0.929017,0.070983
0.005777,0.063351,0.129200,0.604896,0.224900,0.766600,0.360100,0.000000,0.000000,0.148905,0.851095
0.039405,0.378000,0.077381,0.005669,0.135900,0.054930,0.150000,1.000000,1.000000,0.839081,0.160919
0.008668,0.050651,0.037510,0.053163,0.122500,0.671200,0.153800,0.000000,0.000000,0.014534,0.985466
0.017042,0.078041,0.024930,0.007898,0.076000,0.619700,0.103500,0.000000,0.000000,0.149867,0.850133
0.190286,0.393800,0.081351,0.000137,0.053600,0.047330,0.081000,1.000000,1.000000,0.922162,0.077838
0.004584,0.027055,0.005390,0.027498,0.103800,0.581500,0.087700,1.000000,1.000000,0.574091,0.425909
0.038116,0.199700,0.073829,0.001576,0.098700,0.054300,0.089000,1.000000,1.000000,0.916286,0.083714
0.058503,0.016330,0.001540,0.003301,0.061100,0.652500,0.141200,1.000000,0.000000,0.433498,0.566502
0.044347,0.064300,0.002450,0.001300,0.048400,0.560000,0.087200,1.000000,1.000000,0.901605,0.098395
0.035190,0.321000,0.137987,0.006507,0.140700,0.059720,0.116000,1.000000,1.000000,0.947091,0.052909
0.023923,0.900534,0.035906,0.180155,0.295482,0.060900,0.419560,1.000000,0.000000,0.245258,0.754742
0.011756,0.047000,0.022390,0.006219,0.071600,0.564400,0.080600,0.000000,0.000000,0.164120,0.835880
0.003661,0.148070,0.000810,0.109371,0.146600,0.635600,0.130800,0.000000,0.000000,0.145784,0.854216
0.174220,0.408129,0.161020,0.000993,0.080502,0.062820,0.136695,1.000000,1.000000,0.892221,0.107779
0.000850,0.013875,0.067450,0.618590,0.226000,0.516400,0.167600,0.000000,0.000000,0.104393,0.895607
0.048505,0.499571,0.174413,0.016603,0.162805,0.063130,0.205899,1.000000,1.000000,0.938192,0.061808
0.011991,0.057401,0.037470,0.014163,0.088000,0.611000,0.107200,0.000000,0.000000,0.049534,0.950466
0.020558,0.014490,0.036900,0.003576,0.062400,0.557800,0.093600,0.000000,0.000000,0.207446,0.792554
0.026343,0.476500,0.135381,0.071683,0.256300,0.074950,0.239000,1.000000,1.000000,0.734958,0.265042
0.122805,0.026630,0.118620,0.003111,0.060200,0.587400,0.300600,1.000000,0.000000,0.329663,0.670337
0.002946,0.031550,0.000890,0.118750,0.149700,0.648100,0.117100,1.000000,0.000000,0.307201,0.692799
0.026016,0.041768,0.061040,0.007663,0.075500,0.628700,0.128000,0.000000,0.000000,0.053806,0.946194
0.011179,0.031030,0.001810,0.042661,0.115900,0.629200,0.187300,1.000000,1.000000,0.627825,0.372175
0.040468,0.397900,0.128472,0.008432,0.150100,0.059330,0.179000,1.000000,1.000000,0.956331,0.043669
0.017461,0.022641,0.002320,0.002460,0.056800,0.510300,0.078700,1.000000,1.000000,0.939376,0.060624
0.350341,0.169700,0.002500,0.000039,0.020200,0.518800,0.069000,0.000000,0.000000,0.302241,0.697759
0.049277,0.037870,0.001750,0.000128,0.027100,0.389900,0.052900,1.000000,1.000000,0.859879,0.140121
0.091505,0.298600,0.111497,0.002728,0.113200,0.077190,0.302000,0.000000,1.000000,0.734809,0.265191
0.003388,0.026849,0.002110,0.070593,0.131500,0.555300,0.125000,1.000000,1.000000,0.910966,0.089034
0.020574,0.112220,0.003860,0.048482,0.119700,0.544000,0.452400,1.000000,1.000000,0.826233,0.173767
0.030984,0.196300,0.024712,0.003281,0.118500,0.054000,0.118000,1.000000,1.000000,0.885021,0.114979
0.007863,0.034277,0.022700,0.029486,0.105700,0.561500,0.140000,0.000000,0.000000,0.315484,0.684516
0.005309,0.030180,0.001080,0.027921,0.104200,0.591400,0.095500,1.000000,1.000000,0.762175,0.237825
0.001333,0.032220,0.001250,0.287372,0.186800,0.638400,0.108600,0.000000,0.000000,0.088493,0.911507
0.053830,0.138200,0.035038,0.000737,0.081600,0.051340,0.076000,1.000000,1.000000,0.945923,0.054077
0.008361,0.036490,0.000790,0.009331,0.079300,0.547000,0.077700,1.000000,1.000000,0.794242,0.205758
0.031969,0.375337,0.149686,0.018431,0.167112,0.064700,0.159715,1.000000,1.000000,0.935081,0.064919
0.001019,0.032330,0.000470,0.223864,0.175400,0.606800,0.082900,0.000000,0.000000,0.024456,0.975544
0.055252,0.060940,0.027320,0.000915,0.044400,0.579300,0.083200,0.000000,0.000000,0.173823,0.826177
0.035524,0.278400,0.085294,0.010155,0.157200,0.068430,0.182000,1.000000,1.000000,0.674175,0.325825
1.392632,1.556505,0.018388,0.000023,0.031506,0.053730,0.090717,1.000000,1.000000,0.930288,0.069712
0.002332,0.029672,0.140220,0.153005,0.159400,0.638400,0.109400,0.000000,0.000000,0.032480,0.967520
0.013848,0.265700,0.119783,0.026912,0.200600,0.055960,0.182000,1.000000,1.000000,0.555646,0.444354
0.045698,0.336900,0.171535,0.002049,0.105400,0.049760,0.170000,1.000000,1.000000,0.906845,0.093155
0.445351,0.065160,0.003660,0.000443,0.037000,0.720200,0.175500,1.000000,0.000000,0.299761,0.700239
0.018398,0.044380,0.001260,0.005231,0.068600,0.560500,0.101500,0.000000,1.000000,0.899778,0.100222
0.015733,0.242853,0.147248,0.015636,0.160381,0.054000,0.109539,1.000000,1.000000,0.878264,0.121736
0.001604,0.090670,0.001540,0.913809,0.249200,0.640000,0.251200,1.000000,0.000000,0.072720,0.927280
0.099783,0.422817,0.020515,0.003010,0.106230,0.060735,0.147131,1.000000,1.000000,0.909047,0.090953
0.011723,0.042064,0.002080,0.008146,0.076600,0.555000,0.095300,1.000000,1.000000,0.898251,0.101749
0.036239,0.265680,0.069347,0.000046,0.037386,0.035140,0.041410,0.000000,1.000000,0.899470,0.100530
0.005795,0.022720,0.001050,0.001923,0.053400,0.375700,0.053900,1.000000,1.000000,0.898318,0.101682
0.288943,0.114300,0.001050,0.000116,0.026500,0.578600,0.082700,0.000000,0.000000,0.247561,0.752439
0.007047,0.026930,0.001100,0.010510,0.081700,0.549600,0.077600,0.000000,1.000000,0.844901,0.155099
0.425229,0.067600,0.001400,0.000006,0.012500,0.380300,0.049200,0.000000,0.000000,0.368730,0.631270
0.000515,0.012560,0.000570,0.474921,0.211300,0.573000,0.087000,0.000000,0.000000,0.049654,0.950346
0.009018,0.063500,0.047744,0.004470,0.128000,0.058280,0.136000,1.000000,1.000000,0.538926,0.461074
0.042187,0.325810,0.136977,0.003117,0.107166,0.054259,0.100689,1.000000,1.000000,0.959924,0.040076
0.056606,0.166317,0.024071,0.000099,0.045287,0.035510,0.037436,1.000000,1.000000,0.961033,0.038967
0.033349,0.255900,0.105691,0.003948,0.124100,0.057710,0.093000,1.000000,1.000000,0.920670,0.079330
0.087691,0.350400,0.210089,0.005383,0.134100,0.059068,0.159000,0.000000,1.000000,0.813515,0.186485
0.004206,0.068200,0.000820,0.023982,0.100400,0.551400,0.079000,0.000000,1.000000,0.524793,0.475207
0.019005,0.018430,0.028470,0.007819,0.075800,0.634700,0.103600,1.000000,0.000000,0.094191,0.905809
0.053334,0.557700,0.133147,0.008720,0.151300,0.058408,0.253000,1.000000,1.000000,0.933955,0.066045
0.011895,0.304700,0.094487,0.090151,0.271400,0.065500,0.150000,0.000000,0.000000,0.469105,0.530895
0.034088,0.316300,0.142632,0.006957,0.143000,0.061340,0.111000,1.000000,1.000000,0.926189,0.073811
0.017623,0.087797,0.025236,0.004685,0.118661,0.049650,0.078411,1.000000,1.000000,0.872677,0.127323
0.005749,0.019216,0.026940,0.009629,0.079900,0.496100,0.075300,0.000000,0.000000,0.267052,0.732948
0.000914,0.026950,0.036840,0.297816,0.188400,0.576200,0.098900,0.000000,0.000000,0.012586,0.987414
0.350810,0.112900,0.002860,0.000151,0.028200,0.584100,0.122600,0.000000,1.000000,0.706920,0.293080
0.000637,0.019626,0.001750,0.705367,0.233400,0.617300,0.108300,0.000000,0.000000,0.134362,0.865638
0.015413,0.066358,0.002590,0.018739,0.094400,0.620600,0.157300,1.000000,1.000000,0.903427,0.096573
0.261442,0.236800,0.081974,0.000359,0.068100,0.057210,0.108000,1.000000,1.000000,0.941196,0.058804
0.026283,0.124082,0.028331,0.002742,0.103782,0.048210,0.081703,1.000000,1.000000,0.910709,0.089291
0.001961,0.118560,0.041530,0.519702,0.216700,0.622100,0.219800,1.000000,0.000000,0.010559,0.989441
0.248367,0.479300,0.085715,0.000401,0.070000,0.063340,0.089000,1.000000,1.000000,0.874459,0.125541
0.060033,0.394700,0.075935,0.002715,0.113000,0.055270,0.106000,1.000000,1.000000,0.912440,0.087560
0.012426,0.187640,0.001230,0.013183,0.086400,0.624600,0.109200,0.000000,0.000000,0.235370,0.764630
0.159058,0.100800,0.001540,0.000473,0.037600,0.636500,0.103300,0.000000,1.000000,0.642481,0.357519
0.111684,0.535400,0.127700,0.003122,0.117100,0.059810,0.122000,1.000000,1.000000,0.835234,0.164766
0.768664,0.677530,0.019249,0.000051,0.038335,0.054820,0.087704,1.000000,1.000000,0.898942,0.101058
0.013647,0.083310,0.001250,0.016406,0.091300,0.577100,0.138200,1.000000,1.000000,0.908506,0.091494
0.000906,0.010000,0.000760,0.109604,0.146800,0.494900,0.074100,0.000000,0.000000,0.239020,0.760980
0.003748,0.051330,0.025590,0.058352,0.125300,0.616100,0.105300,0.000000,0.000000,0.092587,0.907413
0.001290,0.037410,0.000780,0.129344,0.153000,0.569300,0.084200,0.000000,0.000000,0.044619,0.955381
0.002580,0.053514,0.062776,2.381259,0.563406,0.090350,0.208687,1.000000,0.000000,0.072904,0.927096
0.474229,0.130500,0.002000,0.000060,0.022500,0.581800,0.092500,1.000000,0.000000,0.313929,0.686071
0.361914,0.086800,0.001840,0.000184,0.029700,0.624700,0.114700,0.000000,0.000000,0.365876,0.634124
0.000577,0.018560,0.000430,0.131633,0.153700,0.452400,0.071700,1.000000,0.000000,0.044938,0.955062
0.024811,0.032245,0.004220,0.003743,0.063100,0.608600,0.092100,1.000000,1.000000,0.793833,0.206167
0.007130,0.025660,0.001180,0.090879,0.140000,0.631200,0.207400,1.000000,1.000000,0.543616,0.456384
0.001087,0.016192,0.004910,2.138870,0.308100,0.598800,0.320400,0.000000,0.000000,0.237840,0.762160
0.021738,0.208100,0.173093,0.021594,0.189900,0.075880,0.328000,1.000000,1.000000,0.670639,0.329361
0.001588,0.026550,0.000470,0.013067,0.086200,0.393100,0.054400,0.000000,0.000000,0.251933,0.748067
0.066361,0.200614,0.061420,0.000733,0.042000,0.558300,0.085700,0.000000,0.000000,0.063648,0.936352
0.001570,0.022570,0.000820,0.054306,0.123200,0.530000,0.066000,0.000000,0.000000,0.140325,0.859675
0.276879,0.037790,0.011670,0.000108,0.026000,0.532400,0.096600,1.000000,1.000000,0.711546,0.288454
0.013738,0.033540,0.003840,0.016352,0.091200,0.637500,0.117800,0.000000,1.000000,0.772355,0.227645
0.000843,0.014474,0.001700,0.132999,0.154100,0.481800,0.085600,1.000000,1.000000,0.714215,0.285785
0.001057,0.057480,0.000830,0.168688,0.163300,0.558400,0.088500,0.000000,0.000000,0.057686,0.942314
0.071925,0.255100,0.025719,0.000757,0.082100,0.050500,0.077000,1.000000,1.000000,0.961332,0.038668
0.035146,0.022530,0.032500,0.001260,0.048000,0.543700,0.078300,0.000000,0.000000,0.104591,0.895409
0.017068,0.060260,0.001620,0.008256,0.076900,0.634700,0.099600,1.000000,1.000000,0.737513,0.262487
0.527993,0.611948,0.023983,0.000110,0.046418,0.054092,0.102101,1.000000,1.000000,0.941097,0.058903
0.036948,0.120300,0.102565,0.000230,0.061000,0.043760,0.075000,1.000000,1.000000,0.956370,0.043630
0.002151,0.022260,0.014540,2.760418,0.328700,0.474800,0.817900,0.000000,0.000000,0.160784,0.839216
0.051858,0.235600,0.075040,0.001269,0.093500,0.046648,0.065000,1.000000,1.000000,0.917958,0.082042
0.062245,0.517400,0.083450,0.006397,0.140100,0.056928,0.208000,1.000000,1.000000,0.891108,0.108892
0.001333,0.049470,0.001140,0.234935,0.177600,0.618400,0.103800,0.000000,0.000000,0.083001,0.916999
0.000934,0.030520,0.000590,0.343076,0.194900,0.598400,0.101700,0.000000,0.000000,0.069499,0.930501
0.006892,0.024921,0.002130,0.042214,0.115600,0.586200,0.146300,1.000000,1.000000,0.943911,0.056089
0.057772,0.256341,0.028693,0.000754,0.075146,0.048827,0.072982,1.000000,1.000000,0.958088,0.041912
